"exp","sample","dpi","synID","comID","syncom","strain","taxa","channel","cfu","cfu_log"
"e1","1","14dpi","S2","Com06","S2.06","meL92","Methylobacterium","C0",68000000,7.83250891270624
"e1","2","14dpi","S2","Com06","S2.06","meL92","Methylobacterium","C0",267000000,8.42651126136458
"e1","3","14dpi","S2","Com06","S2.06","meL92","Methylobacterium","C0",228000000,8.35793484700045
"e1","4","14dpi","S2","Com06","S2.06","meL92","Methylobacterium","C0",103000000,8.01283722470517
"e2","1","14dpi","S2","Com06","S2.06","meL92","Methylobacterium","C1",3840000,6.58433122436753
"e2","2","14dpi","S2","Com06","S2.06","meL92","Methylobacterium","C1",1760000,6.24551266781415
"e2","3","14dpi","S2","Com06","S2.06","meL92","Methylobacterium","C1",3040000,6.48287358360875
"e2","4","14dpi","S2","Com06","S2.06","meL92","Methylobacterium","C1",7070000,6.8494194137969
"e1","1","07dpi","S2","Com15","S2.15","meL92","Methylobacterium","C0",5770000,6.76117581315573
"e1","2","07dpi","S2","Com15","S2.15","meL92","Methylobacterium","C0",14600000,7.16435285578444
"e1","3","07dpi","S2","Com15","S2.15","meL92","Methylobacterium","C0",2530000,6.40312052117582
"e1","4","07dpi","S2","Com15","S2.15","meL92","Methylobacterium","C0",5700000,6.75587485567249
"e2","1","07dpi","S2","Com15","S2.15","meL92","Methylobacterium","C0",8500000,6.92941892571429
"e2","2","07dpi","S2","Com15","S2.15","meL92","Methylobacterium","C0",4080000,6.61066016308988
"e2","3","07dpi","S2","Com15","S2.15","meL92","Methylobacterium","C0",7770000,6.89042101880091
"e2","4","07dpi","S2","Com15","S2.15","meL92","Methylobacterium","C0",1e+07,7
"e1","1","14dpi","S2","Com15","S2.15","meL92","Methylobacterium","C0",83300000,7.92064500140679
"e1","2","14dpi","S2","Com15","S2.15","meL92","Methylobacterium","C0",75700000,7.87909587950007
"e1","3","14dpi","S2","Com15","S2.15","meL92","Methylobacterium","C0",34900000,7.54282542695918
"e1","4","14dpi","S2","Com15","S2.15","meL92","Methylobacterium","C0",66900000,7.82542611776782
"e2","1","14dpi","S2","Com15","S2.15","meL92","Methylobacterium","C0",132000000,8.12057393120585
"e2","2","14dpi","S2","Com15","S2.15","meL92","Methylobacterium","C0",131000000,8.11727129565576
"e2","3","14dpi","S2","Com15","S2.15","meL92","Methylobacterium","C0",169000000,8.22788670461367
"e2","4","14dpi","S2","Com15","S2.15","meL92","Methylobacterium","C0",83900000,7.9237619608287
"e1","1","07dpi","S2","Com02","S2.02","mr01","Methylobacterium","C1",21400000,7.33041377334919
"e1","2","07dpi","S2","Com02","S2.02","mr01","Methylobacterium","C1",34900000,7.54282542695918
"e1","3","07dpi","S2","Com02","S2.02","mr01","Methylobacterium","C1",23600000,7.37291200297011
"e1","4","07dpi","S2","Com02","S2.02","mr01","Methylobacterium","C1",45500000,7.65801139665711
"e2","1","07dpi","S2","Com02","S2.02","mr01","Methylobacterium","C1",24400000,7.38738982633873
"e2","2","07dpi","S2","Com02","S2.02","mr01","Methylobacterium","C1",12900000,7.11058971029925
"e2","3","07dpi","S2","Com02","S2.02","mr01","Methylobacterium","C1",38200000,7.58206336291171
"e2","4","07dpi","S2","Com02","S2.02","mr01","Methylobacterium","C1",73700000,7.86746748785905
"e1","1","14dpi","S2","Com02","S2.02","mr01","Methylobacterium","C1",88700000,7.94792361983173
"e1","2","14dpi","S2","Com02","S2.02","mr01","Methylobacterium","C1",72900000,7.86272752831797
"e1","3","14dpi","S2","Com02","S2.02","mr01","Methylobacterium","C1",53800000,7.73078227566639
"e1","4","14dpi","S2","Com02","S2.02","mr01","Methylobacterium","C1",71100000,7.85186960072977
"e2","1","14dpi","S2","Com02","S2.02","mr01","Methylobacterium","C1",129000000,8.11058971029925
"e2","2","14dpi","S2","Com02","S2.02","mr01","Methylobacterium","C1",59500000,7.77451696572855
"e2","3","14dpi","S2","Com02","S2.02","mr01","Methylobacterium","C1",72100000,7.85793526471943
"e2","4","14dpi","S2","Com02","S2.02","mr01","Methylobacterium","C1",79000000,7.89762709129044
"e1","1","07dpi","S2","Com05","S2.05","mr01","Methylobacterium","C1",16200000,7.20951501454263
"e1","2","07dpi","S2","Com05","S2.05","mr01","Methylobacterium","C1",27700000,7.44247976906445
"e1","3","07dpi","S2","Com05","S2.05","mr01","Methylobacterium","C1",30100000,7.47856649559384
"e1","4","07dpi","S2","Com05","S2.05","mr01","Methylobacterium","C1",18600000,7.26951294421792
"e2","1","07dpi","S2","Com05","S2.05","mr01","Methylobacterium","C1",33400000,7.52374646681156
"e2","2","07dpi","S2","Com05","S2.05","mr01","Methylobacterium","C1",11100000,7.04532297878666
"e2","3","07dpi","S2","Com05","S2.05","mr01","Methylobacterium","C1",13700000,7.13672056715641
"e2","4","07dpi","S2","Com05","S2.05","mr01","Methylobacterium","C1",11100000,7.04532297878666
