"exp","synID","comID","taxa","dpi","sample","cfu_total","log_total"
"e1","S2","Com15","Sphingomonas","07dpi","4",78700000,7.89597473235906
"e1","S2","Com15","Sphingomonas","14dpi","1",2.9e+08,8.46239799789896
"e1","S2","Com15","Sphingomonas","14dpi","2",1.1e+08,8.04139268515823
"e1","S2","Com15","Sphingomonas","14dpi","3",1.61e+08,8.20682587603185
"e1","S2","Com15","Sphingomonas","14dpi","4",7.6e+07,7.88081359228079
"e1","S3","Com01","Methylobacterium","07dpi","1",69700,4.84323277809801
"e1","S3","Com01","Methylobacterium","07dpi","2",190000,5.27875360095283
"e1","S3","Com01","Methylobacterium","07dpi","3",249000,5.39619934709574
"e1","S3","Com01","Methylobacterium","07dpi","4",496000,5.6954816764902
"e1","S3","Com01","Methylobacterium","14dpi","1",2720000,6.4345689040342
"e1","S3","Com01","Methylobacterium","14dpi","2",3540000,6.54900326202579
"e1","S3","Com01","Methylobacterium","14dpi","3",1040000,6.01703333929878
"e1","S3","Com01","Methylobacterium","14dpi","4",1630000,6.21218760440396
"e1","S3","Com01","Sphingomonas","07dpi","1",5.4e+07,7.73239375982297
"e1","S3","Com01","Sphingomonas","07dpi","2",46500000,7.66745295288995
"e1","S3","Com01","Sphingomonas","07dpi","3",47600000,7.67760695272049
"e1","S3","Com01","Sphingomonas","07dpi","4",17240000,7.23653726148869
"e1","S3","Com01","Sphingomonas","14dpi","1",62400000,7.79518458968242
"e1","S3","Com01","Sphingomonas","14dpi","2",40700000,7.60959440922522
"e1","S3","Com01","Sphingomonas","14dpi","3",5.7e+07,7.75587485567249
"e1","S3","Com01","Sphingomonas","14dpi","4",52200000,7.71767050300226
"e1","S3","Com02","Methylobacterium","07dpi","1",3980000,6.59988307207369
"e1","S3","Com02","Methylobacterium","07dpi","2",4490000,6.65224634100332
"e1","S3","Com02","Methylobacterium","07dpi","3",2430000,6.38560627359831
"e1","S3","Com02","Methylobacterium","07dpi","4",710000,5.85125834871908
"e1","S3","Com02","Methylobacterium","14dpi","1",4040000,6.6063813651106
"e1","S3","Com02","Methylobacterium","14dpi","2",4030000,6.60530504614111
"e1","S3","Com02","Methylobacterium","14dpi","3",2680000,6.42813479402879
"e1","S3","Com02","Methylobacterium","14dpi","4",3630000,6.55990662503611
"e1","S3","Com02","Sphingomonas","07dpi","1",18970000,7.27806733088866
"e1","S3","Com02","Sphingomonas","07dpi","2",29310000,7.46701581843844
"e1","S3","Com02","Sphingomonas","07dpi","3",38510000,7.58557351862273
"e1","S3","Com02","Sphingomonas","07dpi","4",53300000,7.72672720902657
"e1","S3","Com02","Sphingomonas","14dpi","1",61300000,7.78746047451842
"e1","S3","Com02","Sphingomonas","14dpi","2",28100000,7.44870631990508
"e1","S3","Com02","Sphingomonas","14dpi","3",28800000,7.45939248775923
"e1","S3","Com02","Sphingomonas","14dpi","4",4.2e+07,7.6232492903979
"e1","S3","Com03","Methylobacterium","07dpi","1",3120000,6.49415459401844
"e1","S3","Com03","Methylobacterium","07dpi","2",4090000,6.61172330800734
"e1","S3","Com03","Methylobacterium","07dpi","3",1520000,6.18184358794477
"e1","S3","Com03","Methylobacterium","07dpi","4",3170000,6.50105926221775
"e1","S3","Com03","Methylobacterium","14dpi","1",4250000,6.62838893005031
"e1","S3","Com03","Methylobacterium","14dpi","2",4450000,6.64836001098093
"e1","S3","Com03","Methylobacterium","14dpi","3",7270000,6.86153441085904
"e1","S3","Com03","Methylobacterium","14dpi","4",8730000,6.94101424370557
"e1","S3","Com03","Sphingomonas","07dpi","1",12480000,7.0962145853464
"e1","S3","Com03","Sphingomonas","07dpi","2",4970000,6.69635638873333
"e1","S3","Com03","Sphingomonas","07dpi","3",7360000,6.8668778143375
"e1","S3","Com03","Sphingomonas","07dpi","4",41600000,7.61909333062674
"e1","S3","Com03","Sphingomonas","14dpi","1",35070000,7.5449357658815
"e1","S3","Com03","Sphingomonas","14dpi","2",72500000,7.86033800657099
"e1","S3","Com03","Sphingomonas","14dpi","3",35400000,7.54900326202579
"e1","S3","Com03","Sphingomonas","14dpi","4",29100000,7.46389298898591
"e1","S3","Com04","Methylobacterium","07dpi","1",4793000,6.68060742899179
"e1","S3","Com04","Methylobacterium","07dpi","2",2051000,6.31196566036837
"e1","S3","Com04","Methylobacterium","07dpi","3",3730000,6.57170883180869
"e1","S3","Com04","Methylobacterium","07dpi","4",2336000,6.36847283844036
"e1","S3","Com04","Methylobacterium","14dpi","1",13450000,7.12872228433843
"e1","S3","Com04","Methylobacterium","14dpi","2",10190000,7.00817418400643
"e1","S3","Com04","Methylobacterium","14dpi","3",8320000,6.92012332629072
"e1","S3","Com04","Methylobacterium","14dpi","4",7930000,6.8992731873176
"e1","S3","Com04","Sphingomonas","07dpi","1",16600000,7.22010808804005
"e1","S3","Com04","Sphingomonas","07dpi","2",12300000,7.0899051114394
"e1","S3","Com04","Sphingomonas","07dpi","3",1.3e+07,7.11394335230684
"e1","S3","Com04","Sphingomonas","07dpi","4",5090000,6.70671778233676
"e1","S3","Com04","Sphingomonas","14dpi","1",1.6e+07,7.20411998265593
"e1","S3","Com04","Sphingomonas","14dpi","2",2.3e+07,7.36172783601759
"e1","S3","Com04","Sphingomonas","14dpi","3",25100000,7.39967372148104
"e1","S3","Com04","Sphingomonas","14dpi","4",14500000,7.16136800223498
"e1","S3","Com05","Methylobacterium","07dpi","1",3069000,6.48699688843182
"e1","S3","Com05","Methylobacterium","07dpi","2",3033000,6.48187241031066
"e1","S3","Com05","Methylobacterium","07dpi","3",3120000,6.49415459401844
"e1","S3","Com05","Methylobacterium","07dpi","4",3779000,6.57737689191701
"e1","S3","Com05","Methylobacterium","14dpi","1",9663000,6.98511197953935
"e1","S3","Com05","Methylobacterium","14dpi","2",9281000,6.96759477267189
"e1","S3","Com05","Methylobacterium","14dpi","3",10986000,7.04083959468534
"e1","S3","Com05","Methylobacterium","14dpi","4",5988000,6.77728179167101
"e1","S3","Com05","Sphingomonas","07dpi","1",24900000,7.39619934709574
"e1","S3","Com05","Sphingomonas","07dpi","2",5590000,6.74741180788642
"e1","S3","Com05","Sphingomonas","07dpi","3",3320000,6.52113808370404
"e1","S3","Com05","Sphingomonas","07dpi","4",4360000,6.63948648926859
"e1","S3","Com05","Sphingomonas","14dpi","1",8090000,6.90794852161227
"e1","S3","Com05","Sphingomonas","14dpi","2",10500000,7.02118929906994
"e1","S3","Com05","Sphingomonas","14dpi","3",6480000,6.81157500587059
"e1","S3","Com05","Sphingomonas","14dpi","4",17400000,7.2405492482826
"e1","S3","Com06","Methylobacterium","07dpi","1",1776000,6.24944296144258
"e1","S3","Com06","Methylobacterium","07dpi","2",3568000,6.55242484570409
"e1","S3","Com06","Methylobacterium","07dpi","3",4450000,6.64836001098093
"e1","S3","Com06","Methylobacterium","07dpi","4",4907000,6.69081605798092
"e1","S3","Com06","Methylobacterium","14dpi","1",40710000,7.6097011023794
"e1","S3","Com06","Methylobacterium","14dpi","2",54840000,7.73909744611747
"e1","S3","Com06","Methylobacterium","14dpi","3",NA,NA
"e1","S3","Com06","Methylobacterium","14dpi","4",3.4e+07,7.53147891704226
"e1","S3","Com06","Sphingomonas","07dpi","1",4040000,6.6063813651106
"e1","S3","Com06","Sphingomonas","07dpi","2",6190000,6.79169064902012
"e1","S3","Com06","Sphingomonas","07dpi","3",4310000,6.63447727016073
"e1","S3","Com06","Sphingomonas","07dpi","4",4e+06,6.60205999132796
"e1","S3","Com06","Sphingomonas","14dpi","1",28600000,7.45636603312904
"e1","S3","Com06","Sphingomonas","14dpi","2",23200000,7.3654879848909
"e1","S3","Com06","Sphingomonas","14dpi","3",16500000,7.21748394421391
"e1","S3","Com06","Sphingomonas","14dpi","4",26400000,7.42160392686983
"e1","S3","Com07","Methylobacterium","07dpi","1",1998300,6.30066068837652
"e1","S3","Com07","Methylobacterium","07dpi","2",2004700,6.30204939037625
"e1","S3","Com07","Methylobacterium","07dpi","3",1447000,6.16046853111904
"e1","S3","Com07","Methylobacterium","07dpi","4",1839000,6.26458172923808
"e1","S3","Com07","Methylobacterium","14dpi","1",3649400,6.56222146771435
"e1","S3","Com07","Methylobacterium","14dpi","2",6560000,6.81690383937566
"e1","S3","Com07","Methylobacterium","14dpi","3",3534000,6.54826654517074
"e1","S3","Com07","Methylobacterium","14dpi","4",2610000,6.41664050733828
"e1","S3","Com07","Sphingomonas","07dpi","1",11700000,7.06818586174616
"e1","S3","Com07","Sphingomonas","07dpi","2",12900000,7.11058971029925
"e1","S3","Com07","Sphingomonas","07dpi","3",10700000,7.02938377768521
"e1","S3","Com07","Sphingomonas","07dpi","4",14200000,7.15228834438306
"e1","S3","Com07","Sphingomonas","14dpi","1",14200000,7.15228834438306
"e1","S3","Com07","Sphingomonas","14dpi","2",31700000,7.50105926221775
"e1","S3","Com07","Sphingomonas","14dpi","3",17700000,7.24797326636181
"e1","S3","Com07","Sphingomonas","14dpi","4",13600000,7.13353890837022
"e1","S3","Com08","Methylobacterium","07dpi","1",28855000,7.46022107864468
"e1","S3","Com08","Methylobacterium","07dpi","2",7272000,6.86165387021391
"e1","S3","Com08","Methylobacterium","07dpi","3",2678100,6.42782678949352
"e1","S3","Com08","Methylobacterium","07dpi","4",2413100,6.38257531964949
"e1","S3","Com08","Methylobacterium","14dpi","1",4592000,6.66200187938992
"e1","S3","Com08","Methylobacterium","14dpi","2",6143500,6.78841586260985
"e1","S3","Com08","Methylobacterium","14dpi","3",5418000,6.73383900069715
"e1","S3","Com08","Methylobacterium","14dpi","4",5108000,6.70825088859138
"e1","S3","Com08","Sphingomonas","07dpi","1",37900000,7.57863920996807
"e1","S3","Com08","Sphingomonas","07dpi","2",23700000,7.3747483460101
"e1","S3","Com08","Sphingomonas","07dpi","3",11600000,7.06445798922692
"e1","S3","Com08","Sphingomonas","07dpi","4",11600000,7.06445798922692
"e1","S3","Com08","Sphingomonas","14dpi","1",2920000,6.46538285144842
"e1","S3","Com08","Sphingomonas","14dpi","2",2940000,6.46834733041216
"e1","S3","Com08","Sphingomonas","14dpi","3",11500000,7.06069784035361
"e1","S3","Com08","Sphingomonas","14dpi","4",20700000,7.31597034545692
"e1","S3","Com09","Methylobacterium","07dpi","1",3310000,6.51982799377572
"e1","S3","Com09","Methylobacterium","07dpi","2",5633000,6.75073975123535
"e1","S3","Com09","Methylobacterium","07dpi","3",2788000,6.44529276942597
"e1","S3","Com09","Methylobacterium","07dpi","4",7619000,6.88189797357301
"e1","S3","Com09","Methylobacterium","14dpi","1",9800000,6.9912260756925
"e1","S3","Com09","Methylobacterium","14dpi","2",7420000,6.87040390527903
"e1","S3","Com09","Methylobacterium","14dpi","3",12710000,7.10414555055401
"e1","S3","Com09","Methylobacterium","14dpi","4",3754000,6.57449426828533
"e1","S3","Com09","Sphingomonas","07dpi","1",22100000,7.34439227368511
"e1","S3","Com09","Sphingomonas","07dpi","2",29200000,7.46538285144842
"e1","S3","Com09","Sphingomonas","07dpi","3",4190000,6.6222140229663
"e1","S3","Com09","Sphingomonas","07dpi","4",1.3e+07,7.11394335230684
"e1","S3","Com09","Sphingomonas","14dpi","1",25300000,7.40312052117582
"e1","S3","Com09","Sphingomonas","14dpi","2",2e+07,7.30102999566398
"e1","S3","Com09","Sphingomonas","14dpi","3",18300000,7.26245108973043
"e1","S3","Com09","Sphingomonas","14dpi","4",22700000,7.35602585719312
"e1","S3","Com10","Methylobacterium","07dpi","1",7020000,6.8463371121298
"e1","S3","Com10","Methylobacterium","07dpi","2",6028000,6.7801732436426
"e1","S3","Com10","Methylobacterium","07dpi","3",6035000,6.78067727443337
