"","syncom","strain","dpi","r","type","fraction"
"334","C.01","meL85","07dpi",22.2,"aggregate_fraction",0
"335","C.01","meL85","07dpi",22.2,"regular_fraction",0.763440860215054
"336","C.01","meL85","07dpi",22.2,"random_fraction",0.236559139784946
"337","C.01","meL85","07dpi",22.4,"aggregate_fraction",0
"338","C.01","meL85","07dpi",22.4,"regular_fraction",0.752688172043011
"339","C.01","meL85","07dpi",22.4,"random_fraction",0.247311827956989
"340","C.01","meL85","07dpi",22.6,"aggregate_fraction",0.010752688172043
"341","C.01","meL85","07dpi",22.6,"regular_fraction",0.752688172043011
"342","C.01","meL85","07dpi",22.6,"random_fraction",0.236559139784946
"343","C.01","meL85","07dpi",22.8,"aggregate_fraction",0.010752688172043
"344","C.01","meL85","07dpi",22.8,"regular_fraction",0.763440860215054
"345","C.01","meL85","07dpi",22.8,"random_fraction",0.225806451612903
"346","C.01","meL85","07dpi",23,"aggregate_fraction",0.010752688172043
"347","C.01","meL85","07dpi",23,"regular_fraction",0.774193548387097
"348","C.01","meL85","07dpi",23,"random_fraction",0.21505376344086
"349","C.01","meL85","07dpi",23.2,"aggregate_fraction",0
"350","C.01","meL85","07dpi",23.2,"regular_fraction",0.78494623655914
"351","C.01","meL85","07dpi",23.2,"random_fraction",0.21505376344086
"352","C.01","meL85","07dpi",23.4,"aggregate_fraction",0
"353","C.01","meL85","07dpi",23.4,"regular_fraction",0.78494623655914
"354","C.01","meL85","07dpi",23.4,"random_fraction",0.21505376344086
"355","C.01","meL85","07dpi",23.6,"aggregate_fraction",0
"356","C.01","meL85","07dpi",23.6,"regular_fraction",0.78494623655914
"357","C.01","meL85","07dpi",23.6,"random_fraction",0.21505376344086
"358","C.01","meL85","07dpi",23.8,"aggregate_fraction",0
"359","C.01","meL85","07dpi",23.8,"regular_fraction",0.78494623655914
"360","C.01","meL85","07dpi",23.8,"random_fraction",0.21505376344086
"361","C.01","meL85","07dpi",24,"aggregate_fraction",0
"362","C.01","meL85","07dpi",24,"regular_fraction",0.774193548387097
"363","C.01","meL85","07dpi",24,"random_fraction",0.225806451612903
"364","C.01","meL85","07dpi",24.2,"aggregate_fraction",0
"365","C.01","meL85","07dpi",24.2,"regular_fraction",0.774193548387097
"366","C.01","meL85","07dpi",24.2,"random_fraction",0.225806451612903
"367","C.01","meL85","07dpi",24.4,"aggregate_fraction",0
"368","C.01","meL85","07dpi",24.4,"regular_fraction",0.774193548387097
"369","C.01","meL85","07dpi",24.4,"random_fraction",0.225806451612903
"370","C.01","meL85","07dpi",24.6,"aggregate_fraction",0
"371","C.01","meL85","07dpi",24.6,"regular_fraction",0.78494623655914
"372","C.01","meL85","07dpi",24.6,"random_fraction",0.21505376344086
"373","C.01","meL85","07dpi",24.8,"aggregate_fraction",0
"374","C.01","meL85","07dpi",24.8,"regular_fraction",0.795698924731183
"375","C.01","meL85","07dpi",24.8,"random_fraction",0.204301075268817
