"exp","dpi","synID","comID","syncom","strain","rep","cell","total_area","cell_area","logCell"
"e2","07dpi","S3","Com10","S3.10","mr01",1,2028,0.000876678992,2313275.46172111,6.36422735105095
"e2","07dpi","S3","Com10","S3.10","mr01",2,293,0.000125239856,2339510.8343146,6.36912506075801
"e2","07dpi","S3","Com10","S3.10","mr01",4,482,0.00062619928,769723.018525349,5.88633447430673
"e2","14dpi","C","Com01","C.01","meL85",1,1363,0.002880516688,473178.997947885,5.67502546022098
"e2","14dpi","C","Com01","C.01","meL85",2,11167,0.00500959424,2229122.65245658,6.34813396521402
"e2","14dpi","C","Com01","C.01","meL85",3,6577,0.00500959424,1312880.78133849,6.1182252909352
"e2","14dpi","C","Com01","C.01","meL85",4,11978,0.00250479712,4782024.02276796,6.67961175348811
"e2","14dpi","C","Com04","C.04","meL92",1,1980,0.004132915248,479080.716924491,5.68040869078755
"e2","14dpi","C","Com04","C.04","meL92",2,6881,0.004884354384,1408783.93724676,6.1488443912238
"e2","14dpi","C","Com04","C.04","meL92",3,2792,0.003506715968,796186.524793559,5.90101482301281
"e2","14dpi","C","Com04","C.04","meL92",4,2834,0.00500959424,565714.47990167,5.75259729498738
"e2","14dpi","C","Com10","C.10","smfr1",1,9788,0.00500959424,1953850.85719038,6.29089140975569
"e2","14dpi","C","Com10","C.10","smfr1",2,4873,0.004884354384,997675.356227797,5.9989892447587
"e2","14dpi","C","Com10","C.10","smfr1",3,11015,0.00500959424,2198780.87371803,6.34218195056273
"e2","14dpi","C","Com10","C.10","smfr1",4,12725,0.005260073952,2419167.50907307,6.3836659410148
"e2","14dpi","C","Com13","C.13","spfa2",1,37880,0.00500959424,7561490.64879155,6.87860741940718
"e2","14dpi","C","Com13","C.13","spfa2",2,27783,0.00500959424,5545958.14929714,6.74397658799736
"e2","14dpi","C","Com13","C.13","spfa2",3,12789,0.00500959424,2552901.37031138,6.40703403644274
"e2","14dpi","C","Com13","C.13","spfa2",4,800,0.001753357984,456267.349451896,5.65921939171761
"e2","14dpi","S2","Com02","S2.02","meL85",1,3646,0.00250479712,1455606.91158891,6.16304410905888
"e2","14dpi","S2","Com02","S2.02","meL85",2,2488,0.00250479712,993294.019756778,5.9970778207587
"e2","14dpi","S2","Com02","S2.02","meL85",3,2291,0.00250479712,914644.935395007,5.96125253392932
"e2","14dpi","S2","Com02","S2.02","meL85",4,358,0.002379557264,150448.154964007,5.17738686609495
"e2","14dpi","S2","Com02","S2.02","mr01",1,5724,0.00250479712,2285215.01972982,6.35892706982766
"e2","14dpi","S2","Com02","S2.02","mr01",2,7005,0.00250479712,2796633.68504672,6.44663558436172
"e2","14dpi","S2","Com02","S2.02","mr01",3,8928,0.00250479712,3564360.53391821,6.55198162633343
"e2","14dpi","S2","Com02","S2.02","mr01",4,5268,0.00250479712,2103164.34729852,6.32287321102967
"e2","14dpi","S2","Com03","S2.03","meL85",1,2568,0.002254317408,1139147.4824649,6.05657995469741
"e2","14dpi","S2","Com03","S2.03","meL85",2,3140,0.00250479712,1253594.54261908,6.09815709281314
"e2","14dpi","S2","Com03","S2.03","meL85",4,1313,0.00250479712,524194.151101547,5.7194921708294
"e2","14dpi","S2","Com03","S2.03","meL92",1,935,0.002254317408,414759.694744814,5.61779654617311
"e2","14dpi","S2","Com03","S2.03","meL92",2,2022,0.00250479712,807251.008017767,5.9070085959949
"e2","14dpi","S2","Com03","S2.03","meL92",4,1875,0.00250479712,748563.620194517,5.87422871680366
"e2","14dpi","S2","Com05","S2.05","meL92",1,1148,0.00250479712,458320.55252443,5.66116933280188
"e2","14dpi","S2","Com05","S2.05","meL92",2,5726,0.00250479712,2286013.48759136,6.3590787884255
"e2","14dpi","S2","Com05","S2.05","meL92",3,2249,0.00250479712,897877.11030265,5.95321690017555
"e2","14dpi","S2","Com05","S2.05","meL92",4,5566,0.00250479712,2222136.0586681,6.34677064673795
"e2","14dpi","S2","Com05","S2.05","meL92",5,6097,0.00250479712,2434129.27590718,6.38634363976184
"e2","14dpi","S2","Com05","S2.05","meL92",6,5695,0.00250479712,2273637.23573748,6.35672117315504
"e2","14dpi","S2","Com05","S2.05","meL92",7,1499,0.00250479712,598451.662224843,5.7770290775882
"e2","14dpi","S2","Com05","S2.05","meL92",8,1479,0.00250479712,590466.983609435,5.77119561873682
"e2","14dpi","S2","Com05","S2.05","mr01",1,4628,0.00250479712,1847654.63160545,6.26662079501963
"e2","14dpi","S2","Com05","S2.05","mr01",2,5991,0.00250479712,2391810.47924552,6.37872676433029
"e2","14dpi","S2","Com05","S2.05","mr01",3,4382,0.00250479712,1749443.08463593,6.24289981796461
"e2","14dpi","S2","Com05","S2.05","mr01",4,4003,0.00250479712,1598133.42487395,6.20361303484503
"e2","14dpi","S2","Com05","S2.05","mr01",5,20556,0.00250479712,8206652.68091653,6.91416605375306
"e2","14dpi","S2","Com05","S2.05","mr01",6,8840,0.00250479712,3529227.94801042,6.547679709753
"e2","14dpi","S2","Com05","S2.05","mr01",7,11042,0.00250479712,4408341.06356686,6.64427518754404
"e2","14dpi","S2","Com05","S2.05","mr01",8,15131,0.00250479712,6040808.60648706,6.78109507601033
"e2","14dpi","S2","Com06","S2.06","meL92",1,5359,0.00250479712,2139494.63499862,6.33031120178353
"e2","14dpi","S2","Com06","S2.06","meL92",2,8845,0.00250479712,3531224.11766427,6.54792528198566
"e2","14dpi","S2","Com06","S2.06","meL92",3,8300,0.00250479712,3313641.6253944,6.520305537116
"e2","14dpi","S2","Com06","S2.06","meL92",4,21100,0.00250479712,8423835.93925563,6.92550990003762
"e2","14dpi","S2","Com06","S2.06","smfr1",1,5163,0.00250479712,2061244.78456762,6.31412956978714
"e2","14dpi","S2","Com06","S2.06","smfr1",2,4780,0.00250479712,1908338.18908256,6.28065534135204
"e2","14dpi","S2","Com06","S2.06","smfr1",3,2527,0.00250479712,1008864.14305682,6.00383268665984
"e2","14dpi","S2","Com06","S2.06","smfr1",4,4907,0.00250479712,1959040.8982904,6.29204350272084
