exp,sample,dpi,synID,comID,syncom,strain,taxa,channel,cfu
e1,4,07dpi,S2,Com15,S2.15,meL92,Methylobacterium,C0,5.70E+06
e2,1,07dpi,S2,Com15,S2.15,meL92,Methylobacterium,C0,8.50E+06
e2,2,07dpi,S2,Com15,S2.15,meL92,Methylobacterium,C0,4.08E+06
e2,3,07dpi,S2,Com15,S2.15,meL92,Methylobacterium,C0,7.77E+06
e2,4,07dpi,S2,Com15,S2.15,meL92,Methylobacterium,C0,1.00E+07
e1,1,14dpi,S2,Com15,S2.15,meL92,Methylobacterium,C0,8.33E+07
e1,2,14dpi,S2,Com15,S2.15,meL92,Methylobacterium,C0,7.57E+07
e1,3,14dpi,S2,Com15,S2.15,meL92,Methylobacterium,C0,3.49E+07
e1,4,14dpi,S2,Com15,S2.15,meL92,Methylobacterium,C0,6.69E+07
e2,1,14dpi,S2,Com15,S2.15,meL92,Methylobacterium,C0,1.32E+08
e2,2,14dpi,S2,Com15,S2.15,meL92,Methylobacterium,C0,1.31E+08
e2,3,14dpi,S2,Com15,S2.15,meL92,Methylobacterium,C0,1.69E+08
e2,4,14dpi,S2,Com15,S2.15,meL92,Methylobacterium,C0,8.39E+07
e1,1,07dpi,S2,Com02,S2.02,mr01,Methylobacterium,C1,2.14E+07
e1,2,07dpi,S2,Com02,S2.02,mr01,Methylobacterium,C1,3.49E+07
e1,3,07dpi,S2,Com02,S2.02,mr01,Methylobacterium,C1,2.36E+07
e1,4,07dpi,S2,Com02,S2.02,mr01,Methylobacterium,C1,4.55E+07
e2,1,07dpi,S2,Com02,S2.02,mr01,Methylobacterium,C1,2.44E+07
e2,2,07dpi,S2,Com02,S2.02,mr01,Methylobacterium,C1,1.29E+07
e2,3,07dpi,S2,Com02,S2.02,mr01,Methylobacterium,C1,3.82E+07
e2,4,07dpi,S2,Com02,S2.02,mr01,Methylobacterium,C1,7.37E+07
e1,1,14dpi,S2,Com02,S2.02,mr01,Methylobacterium,C1,8.87E+07
e1,2,14dpi,S2,Com02,S2.02,mr01,Methylobacterium,C1,7.29E+07
e1,3,14dpi,S2,Com02,S2.02,mr01,Methylobacterium,C1,5.38E+07
e1,4,14dpi,S2,Com02,S2.02,mr01,Methylobacterium,C1,7.11E+07
e2,1,14dpi,S2,Com02,S2.02,mr01,Methylobacterium,C1,1.29E+08
e2,2,14dpi,S2,Com02,S2.02,mr01,Methylobacterium,C1,5.95E+07
e2,3,14dpi,S2,Com02,S2.02,mr01,Methylobacterium,C1,7.21E+07
e2,4,14dpi,S2,Com02,S2.02,mr01,Methylobacterium,C1,7.90E+07
e1,1,07dpi,S2,Com05,S2.05,mr01,Methylobacterium,C1,1.62E+07
e1,2,07dpi,S2,Com05,S2.05,mr01,Methylobacterium,C1,2.77E+07
e1,3,07dpi,S2,Com05,S2.05,mr01,Methylobacterium,C1,3.01E+07
e1,4,07dpi,S2,Com05,S2.05,mr01,Methylobacterium,C1,1.86E+07
e2,1,07dpi,S2,Com05,S2.05,mr01,Methylobacterium,C1,3.34E+07
